--,sectest9,Jksoccer23,965KOIT,CindyLauEva,Wirelesssav,Sierra_G7,CSITricia,WendiMunson,sofiasiabat,dileyla_1,SisterRoma,lup3drew,4tu_Nate,Bazdefc,TKelly_19,ProducerEli,indigoplaya,WFTV,frenchk,NewGodFrank,i_phonemast,CreativeZen,MahoganyWol,Chri503,BallezaAbig,BarbAnnJ,RogerJarnig,Meg2916,WTCenterOrl,ludo_VLT_94,PsychicDogT,MelanieLQ_,OrlCty,IRCDems,BicOnAir,noelcbickfo,DJCharlieSp,sousukeyama,JstJackee,JDThyme,lifesastage,reignchusti,jerryaddict,annavibesx,DrCouperthw,EricBurrisW,joyatksom,DrCamilleOm,V_Baugh
SisterRoma,7,0,67,0,1,1,N/A,N/A,N/A,0,20782,1,0,N/A,0,7,0,N/A,N/A,3,0,2,N/A,N/A,1,11,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,1,2,3,0,1,1,N/A,N/A,4,14,1,2,1
lup3drew,0,0,1,0,0,0,N/A,N/A,N/A,0,1,103,0,N/A,0,1,0,N/A,N/A,0,0,0,N/A,N/A,3,0,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,1,0,0,0,3,N/A,N/A,0,1,0,0,0
4tu_Nate,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,149,N/A,0,0,0,N/A,N/A,2,0,0,N/A,N/A,0,0,0,N/A,0,1,N/A,0,0,N/A,N/A,N/A,1,0,0,0,0,0,N/A,N/A,0,2,0,0,0
Bazdefc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TKelly_19,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,N/A,636,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,1,N/A,0,1,N/A,0,16,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,0,1
ProducerEli,1,0,7,1,2,1,N/A,N/A,N/A,0,7,1,0,N/A,0,1174,0,N/A,N/A,0,0,1,N/A,N/A,0,0,0,N/A,4,0,N/A,0,3,N/A,N/A,N/A,0,1,14,0,1,0,N/A,N/A,2,309,1,0,3
indigoplaya,1,0,0,1,0,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,556,N/A,N/A,0,0,0,N/A,N/A,0,0,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,0,0,0,1,0,N/A,N/A,0,0,0,0,0
WFTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
frenchk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NewGodFrank,0,0,1,0,1,3,N/A,N/A,N/A,0,3,0,2,N/A,0,0,0,N/A,N/A,268,0,0,N/A,N/A,0,1,5,N/A,3,1,N/A,0,0,N/A,N/A,N/A,1,1,0,0,1,0,N/A,N/A,2,2,0,0,1
i_phonemast,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,N/A,N/A,0,530,0,N/A,N/A,0,0,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,0,0,0,0,1
CreativeZen,1,0,1,0,0,0,N/A,N/A,N/A,0,2,0,0,N/A,0,1,0,N/A,N/A,0,0,411,N/A,N/A,0,1,2,N/A,1,0,N/A,0,0,N/A,N/A,N/A,0,0,1,0,0,0,N/A,N/A,1,3,0,0,0
MahoganyWol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chri503,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BallezaAbig,0,0,0,0,0,1,N/A,N/A,N/A,0,1,3,0,N/A,0,0,0,N/A,N/A,0,0,0,N/A,N/A,257,1,0,N/A,0,0,N/A,1,0,N/A,N/A,N/A,0,0,0,0,0,2,N/A,N/A,0,0,0,0,0
BarbAnnJ,4,0,2,1,1,0,N/A,N/A,N/A,0,11,0,0,N/A,0,0,0,N/A,N/A,1,0,1,N/A,N/A,1,894,2,N/A,3,0,N/A,0,0,N/A,N/A,N/A,0,0,2,0,1,0,N/A,N/A,4,2,1,0,1
RogerJarnig,5,0,3,1,1,1,N/A,N/A,N/A,0,1,0,0,N/A,1,0,0,N/A,N/A,5,0,2,N/A,N/A,0,2,935,N/A,2,1,N/A,0,0,N/A,N/A,N/A,2,1,2,0,0,1,N/A,N/A,4,2,0,0,3
Meg2916,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WTCenterOrl,3,0,2,5,0,1,N/A,N/A,N/A,0,0,0,0,N/A,0,4,0,N/A,N/A,3,0,1,N/A,N/A,0,3,2,N/A,816,0,N/A,0,0,N/A,N/A,N/A,1,0,2,0,0,0,N/A,N/A,1,11,0,0,5
ludo_VLT_94,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,1,N/A,1,0,0,N/A,N/A,1,0,0,N/A,N/A,0,0,1,N/A,0,260,N/A,0,0,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,0,2,0,0,0
PsychicDogT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MelanieLQ_,0,0,0,0,0,4,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,N/A,N/A,0,0,0,N/A,N/A,1,0,0,N/A,0,0,N/A,605,0,N/A,N/A,N/A,0,0,0,0,0,4,N/A,N/A,0,0,0,0,0
OrlCty,0,0,0,1,3,0,N/A,N/A,N/A,0,0,0,0,N/A,16,3,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0,N/A,0,0,N/A,0,451,N/A,N/A,N/A,0,0,1,0,0,0,N/A,N/A,0,22,0,0,0
IRCDems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BicOnAir,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
noelcbickfo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DJCharlieSp,1,0,2,0,0,0,N/A,N/A,N/A,0,1,0,1,N/A,0,0,0,N/A,N/A,1,0,0,N/A,N/A,0,0,2,N/A,1,0,N/A,0,0,N/A,N/A,N/A,259,0,2,0,1,0,N/A,N/A,2,1,0,0,1
sousukeyama,0,0,2,1,0,1,N/A,N/A,N/A,0,2,1,0,N/A,0,1,0,N/A,N/A,1,0,0,N/A,N/A,0,0,1,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,446,1,0,0,0,N/A,N/A,1,3,0,0,0
JstJackee,1,0,3,4,1,2,N/A,N/A,N/A,0,3,0,0,N/A,0,14,0,N/A,N/A,0,0,1,N/A,N/A,0,2,2,N/A,2,0,N/A,0,1,N/A,N/A,N/A,2,1,483,0,0,0,N/A,N/A,1,36,1,0,0
JDThyme,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,0,0,135,0,0,N/A,N/A,0,0,0,0,0
lifesastage,0,0,0,0,0,1,N/A,N/A,N/A,0,1,0,0,N/A,0,1,1,N/A,N/A,1,0,0,N/A,N/A,0,1,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,1,0,0,0,677,0,N/A,N/A,1,4,0,0,0
reignchusti,0,0,1,0,0,6,N/A,N/A,N/A,0,1,3,0,N/A,0,0,0,N/A,N/A,0,0,0,N/A,N/A,2,0,1,N/A,0,0,N/A,4,0,N/A,N/A,N/A,0,0,0,0,0,2090,N/A,N/A,0,0,0,1,0
jerryaddict,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
annavibesx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DrCouperthw,5,0,6,0,0,1,N/A,N/A,N/A,0,4,0,0,N/A,0,2,0,N/A,N/A,2,0,1,N/A,N/A,0,4,4,N/A,1,0,N/A,0,0,N/A,N/A,N/A,2,1,1,0,1,0,N/A,N/A,2161,6,0,0,2
EricBurrisW,9,0,22,1,9,1,N/A,N/A,N/A,0,14,1,2,N/A,1,309,0,N/A,N/A,2,0,3,N/A,N/A,0,2,2,N/A,11,2,N/A,0,22,N/A,N/A,N/A,1,3,36,0,4,0,N/A,N/A,6,10056,0,0,7
joyatksom,0,0,0,0,1,0,N/A,N/A,N/A,0,1,0,0,N/A,0,1,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,0,1,0,0,0,N/A,N/A,0,0,167,0,0
DrCamilleOm,1,0,1,0,0,0,N/A,N/A,N/A,0,2,0,0,N/A,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0,N/A,0,0,N/A,0,0,N/A,N/A,N/A,0,0,0,0,0,1,N/A,N/A,0,0,0,2238,0
V_Baugh,5,0,2,2,0,1,N/A,N/A,N/A,0,1,0,0,N/A,1,3,0,N/A,N/A,1,1,0,N/A,N/A,0,1,3,N/A,5,0,N/A,0,0,N/A,N/A,N/A,1,0,0,0,0,0,N/A,N/A,2,7,0,0,815
